Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,250,276,76,3287,"334,27","0,000%","55,29750","10,10","8,10","187,0"
/user_info_2,250,595,97,4557,"839,37","0,000%","39,25879","18,17","9,47","474,0"
/user_info_3,250,514,123,3444,"592,75","0,000%","38,43788","14,34","9,27","382,0"
/object_info_1,250,585,123,4558,"696,37","0,000%","38,95902","9,93","6,28","261,0"
/object_info_2,250,608,114,4384,"646,76","0,000%","39,14814","18,04","6,27","472,0"
/object_info_3,250,630,85,2877,"653,45","0,000%","40,18001","20,87","6,44","532,0"
/object_info_4,250,598,73,3445,"609,04","0,000%","41,16582","10,09","6,59","251,0"
TOTAL,1750,544,73,4558,"650,28","0,000%","234,96241","83,88","42,65","365,6"
