Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,50,212,83,342,"83,85","0,000%","61,19951","11,18","8,96","187,0"
/user_info_2,50,152,116,236,"25,99","0,000%","72,78020","33,69","17,56","474,0"
/user_info_3,50,187,113,1407,"179,15","0,000%","25,78649","9,62","6,22","382,0"
/object_info_1,50,227,139,1606,"207,26","0,000%","20,45827","5,21","3,30","261,0"
/object_info_2,50,460,199,2874,"560,06","0,000%","12,22494","5,63","1,96","472,0"
/object_info_3,50,501,215,2630,"576,67","0,000%","8,66251","4,50","1,39","532,0"
/object_info_4,50,555,195,2618,"577,40","0,000%","8,74126","2,14","1,40","251,0"
TOTAL,350,328,83,2874,"420,12","0,000%","49,63835","17,72","9,01","365,6"
